Amount,distance_from_home_km,time_since_last_tx_seconds,velocity_kmh,IsFraud
115.8,5.494659040949018,0.0,0.0,0
133.22,24.457217899911406,13.0,7996.593023576542,0
69.06,1.984961004755117,2204.0,41.967301826580886,0
324.8,24.878234054956533,3.0,27734.65223639525,0
247.03,18.334561802499433,11.0,2551.583866963863,0
341.9,46.92685760361321,1.0,226191.6213563574,0
60.6,1.5650081359647152,6.0,27235.58785934425,0
47.12,22.488494000932754,7.0,12360.719144600223,0
310.33,27.708093016404998,9.0,16126.528705432202,0
323.79,45.79244985425935,1.0,120209.81992760312,0
336.64,16.800924049858388,5.0,45067.2282125912,0
309.0,64.35390205366546,1.0,282442.53904328,0
79.1,9.44759553301203,9.0,29455.105612770596,0
268.1,3.0879459232910453,3.0,14850.936700984417,0
44.26,25.55683958033576,1.0,94162.87592870621,0
346.12,9.891722099690394,4.0,26018.74590896442,0
387.8,9.98577495800387,1.0,67297.3143001526,0
207.44,31.85459100709726,0.0,0.0,0
350.63,29.80521648960317,9.0,22371.74780958466,0
21.32,46.35484046971893,2.0,74134.30324303813,0
54.37,47.56033074213615,15.0,18527.1263268446,0
146.82,11.224575984241005,24.0,8817.667179021159,0
33.11,31.656342193129355,7.0,17209.673667894327,0
223.04,22.178498075942134,0.0,0.0,0
306.28,34.60032648138986,7.0,11994.501878109302,0
25.5,32.327023509849234,2.0,111508.16039930667,0
299.08,29.379461947034265,2.0,28504.137765017003,0
54.18,61.48379268050944,14824.0,14.917662778673437,0
43.44,63.29212055262312,1.0,176605.75561538944,0
116.03,51.4923925107789,0.0,0.0,0
50.3,21.540961648093056,1.0,202267.63003282735,0
321.78,2.9428134715615304,4.0,18040.90687299504,0
195.75,1.4399719303494953,1.0,8117.790545620179,0
395.96,1.196586568387365,5.0,1746.2044287466153,0
274.82,62.6429016277206,1.0,227435.02703534267,0
258.39,112.04894685552036,5.0,116449.11071749956,0
61.07,12.017645441057198,14.0,30328.87565580196,0
189.2,70.2978894562088,0.0,0.0,0
210.67,21.723350938726785,2.0,121550.72168193589,0
185.55,94.33266994378481,0.0,0.0,0
165.74,68.87147783697971,0.0,0.0,0
373.62,14.084055585440854,5.0,48135.70983531647,0
394.16,57.675533245939434,3.0,68067.70430525481,0
322.47,22.574352358275075,13.0,22161.38146722244,0
93.81,28.179983780876043,11.0,8975.601804744152,0
313.1,73.38621950212797,11.0,28168.75574899497,0
321.03,45.80778237914936,4.0,100074.17342848159,0
305.8,39.97683915390033,2.0,125116.25208722963,0
271.93,37.976145176636955,2.0,95605.09589008814,0
339.11,26.991191008297545,8897.0,26.266852851890505,0
95.05,2.461729331019177,5.0,20843.93130590014,0
264.44,0.6690249680933454,0.0,0.0,0
173.65,39.4838694182357,19.0,7426.499941375404,0
49.91,42.62590083889116,2.0,52762.387048171324,0
342.91,8.092550742241492,1.0,126267.75656326301,0
398.29,11.63249031738287,4.0,4931.131024077554,0
20.27,42.01477587586035,10.0,19034.30835730954,0
122.35,30.077807232938177,8.0,32419.302413871865,0
276.54,41.24530471783774,2.0,101484.8043511334,0
233.53,51.25146876549606,13076.0,24.48779525499866,0
79.7,49.77989470562749,10.0,6415.12499590575,0
187.34,72.78801128135939,6.0,33875.10324022923,0
14.91,22.54631277549677,5.0,65558.90105045612,0
293.48,24.832117644347846,2.0,10658.290195563011,0
314.22,6.039631718375659,2538.0,42.85837020369399,0
273.72,2.11885926893618,9.0,1910.1541923958212,0
7.95,1.2081436474036795,8.0,1305.4023240564668,0
106.09,39.463686753028455,6.0,24142.496137487888,0
143.79,15.363009274858907,2.0,98332.0362186137,0
176.26,28.130442782577944,2.0,34480.78251179666,0
312.61,6.754387276081867,2.0,41649.24848253559,0
208.69,44.921456313088,2.0,80684.17678729857,0
195.29,9.554465042187351,0.0,0.0,0
368.4,43.98195993381777,10.0,18174.233855136623,0
68.95,40.887825194275564,1.0,118853.11612085039,0
67.52,0.62936701082677,5.0,29880.84044873737,0
202.83,33.67588929466656,1.0,120400.34330113075,0
94.29,6.618549897726434,4.0,24598.473277863694,0
368.12,21.993703867005028,6.0,12400.816162775656,0
87.03,52.27954030886482,6.0,44494.99470907426,0
367.05,6.686526935050245,11.0,15751.705608338447,0
147.04,11.833766017439613,4.0,16549.375189745322,0
378.23,25.455177088767233,4534.0,10.87540560905856,0
183.45,54.90438791631319,6.0,31752.64083294258,0
26.32,40.83516807134963,2.0,41091.66076821856,0
158.85,0.7011558800449035,0.0,0.0,0
64.95,28.119903289862783,0.0,0.0,0
258.71,108.35334335011333,4.0,101533.21508105527,0
207.62,7.903028627363542,3.0,132719.1696134701,0
204.0,40.733379976760375,11.0,15797.233365992755,0
244.86,29.191126450139272,12.0,19142.245959022886,0
332.39,79.93769631042944,0.0,0.0,0
389.38,8.328166621422891,9.0,29294.86378327951,0
220.79,5.460542810749193,1.0,10503.401292657421,0
318.54,1.3987399455692267,17.0,1437.0262076324461,0
135.95,0.628116664123504,0.0,0.0,0
91.8,53.16314921885682,1.0,193365.4672511492,0
332.3,29.2071736092823,23.0,9429.783112368172,0
329.63,14.528505424527983,1.0,154276.22648728685,0
283.95,74.2210974972827,4.0,54987.10399658839,0
98.75,18.27882098076011,9.0,27970.416098662656,0
29.85,5.279155595641881,7.0,7416.982496079131,0
130.66,94.21625367256982,590.0,603.9368167241532,0
154.72,5.9544499002100695,6.0,55814.396321596425,0
207.75,4.698588048896071,9.0,2912.094241891492,0
366.4,20.46766215105173,0.0,0.0,0
117.8,11.579657651551555,4.0,22451.170641974626,0
316.99,36.620516327624756,7.0,19922.991249763443,0
13.69,39.30757133895237,12.0,22681.453382160977,0
79.73,47.27143083973302,1.0,44488.07078372118,0
179.22,52.756222309471994,0.0,0.0,0
186.78,0.7971845206861452,6.0,31952.568047767072,0
166.43,30.748190605095182,9012.0,12.415918008567465,0
334.6,35.15129934411941,6.0,25592.68996471033,0
11.09,27.130692746883906,13.0,11704.190935312752,0
170.16,66.17858444603415,1.0,332088.74784961645,0
359.4,53.1338232649418,2.0,25172.887384155398,0
358.98,17.534545757789168,2.0,78141.69640337628,0
302.87,69.65946398889368,12230.0,17.674763727803104,0
21.82,4.576782650797637,13.0,20473.874737816153,0
158.66,6.441860124678383,3.0,2996.233827570378,0
86.48,45.11633930055046,4.0,44159.657410598214,0
89.57,126.1620870671371,9127.0,60.58615053339071,0
313.25,10.320423938397841,3.0,148880.39773292645,0
166.01,44.92829775742582,4.0,49484.58116862246,0
124.14,15.094201626046278,1800.0,62.48650414304511,0
308.12,28.916007501071995,9.0,13150.804701861207,0
70.61,29.582520877818904,6.0,1634.038807878748,0
148.26,269.101951909554,5.0,202184.8797727271,0
29.47,49.657103747995656,0.0,0.0,0
137.8,6.786969700623751,2.0,101490.8526277994,0
43.95,46.03377328979453,18.0,9683.479984666455,0
161.54,30.01573991062882,0.0,0.0,0
118.37,49.18178236879883,7.0,11247.59741295563,0
220.28,10.757403138423342,0.0,0.0,0
68.81,57.05425067013297,1.0,244119.48035401563,0
153.58,47.92672144760953,5.0,58945.74455039249,0
332.65,3.1094956356845156,3.0,54569.186545646735,0
133.92,3.834391621180494,4.0,3964.3561367946,0
374.78,16.89764052339506,3.0,21189.515253470447,0
248.25,42.45507979361484,0.0,0.0,0
302.58,16.118498081091477,2.0,95516.42606069586,0
303.22,30.080097558915135,21.0,6120.75370618026,0
352.45,22.44257277828316,7.0,27008.718923757737,0
275.3,12.572568045729755,0.0,0.0,0
77.13,1.8262892457052748,16.0,3083.806378781022,0
167.14,16.183512433016073,1.0,60404.36649730324,0
374.65,43.9096384189929,4.0,33130.574190895306,0
178.84,6.465541336555047,6.0,26636.163034976104,0
24.73,46.7036227610421,1.0,187046.53913609675,0
320.2,45.501121833439896,0.0,0.0,0
9.05,26.64650012276775,25.0,3187.7693946596364,0
135.51,8.288867802735579,1904.0,61.52786556532188,0
164.76,18.696562860829665,6.0,8757.209165015782,0
58.51,11.076525087190264,13.0,2383.5755305977286,0
84.97,18.50288396922351,5.0,19285.854011801854,0
104.01,16.15878100662239,3.0,4712.866224575365,0
214.89,51.9810269966901,2.0,91844.95000029168,0
216.69,59.50637327426752,2.0,101755.31957807887,0
244.63,14.864374049102663,4.0,66528.18724277915,0
120.93,83.63619113316103,4.0,80495.8430423114,0
327.08,34.83035464666195,4.0,106363.58633191806,0
252.44,28.79911603840522,1.0,47830.13613615063,0
141.2,34.20897215169036,1.0,41646.404093419165,0
24.26,11.556299591540832,3.0,45521.03078646346,0
